,age,education_number,marital,occupation,race,sex,capitalgain,capitalloss,hours,country,income
0,17,7,4,7,4,1,0,1721,15,38,0
1,17,8,4,7,4,0,0,1721,25,38,0
2,17,5,4,5,4,1,0,1719,15,38,0
3,17,7,4,5,4,1,0,1719,18,38,0
4,17,7,4,11,4,0,0,1602,12,38,0
5,17,6,4,7,4,0,0,1602,18,38,0
6,17,6,4,10,4,0,0,1602,40,38,0
7,17,7,4,0,2,0,0,1602,40,38,0
8,17,6,4,7,4,0,0,1602,12,38,0
9,17,6,4,7,4,0,0,1602,10,38,0
10,17,6,4,9,4,0,34095,0,32,38,0
11,17,7,4,5,4,1,2176,0,18,38,0
12,17,5,4,7,4,1,1055,0,24,38,0
13,17,6,4,9,4,1,1055,0,30,38,0
14,17,7,4,0,4,0,1055,0,20,38,0
15,17,6,4,7,0,0,1055,0,20,38,0
16,17,7,4,11,4,0,1055,0,18,18,0
17,17,7,4,7,4,1,594,0,10,38,0
18,17,6,4,2,4,1,594,0,30,38,0
19,17,7,4,2,4,1,594,0,40,38,0
20,17,7,4,11,4,0,0,0,12,38,0
21,17,7,4,7,4,1,0,0,12,38,0
22,17,3,4,7,4,1,0,0,48,25,0
23,17,7,4,7,4,1,0,0,10,38,0
24,17,7,4,9,4,1,0,0,40,38,0
25,17,7,4,9,4,0,0,0,5,38,0
26,17,5,4,7,4,1,0,0,6,38,0
27,17,7,4,11,4,1,0,0,12,38,0
28,17,6,4,7,4,0,0,0,21,38,0
29,17,7,4,9,4,0,0,0,20,38,0
30,17,7,4,4,4,1,0,0,10,38,0
31,17,8,4,7,4,1,0,0,16,38,0
32,17,8,4,5,4,1,0,0,20,38,0
33,17,7,4,11,4,0,0,0,20,38,0
34,17,6,4,4,4,1,0,0,20,38,0
35,17,7,4,11,4,1,0,0,20,38,0
36,17,7,4,11,4,1,0,0,28,38,0
37,17,7,4,0,4,1,0,0,15,38,0
38,17,6,4,9,4,1,0,0,20,38,0
39,17,7,4,9,4,0,0,0,30,38,0
40,17,7,4,7,4,1,0,0,5,38,0
41,17,7,4,0,1,0,0,0,24,38,0
42,17,5,4,7,2,1,0,0,9,38,0
43,17,6,4,11,4,1,0,0,30,38,0
44,17,6,4,5,4,1,0,0,24,38,0
45,17,6,4,9,4,0,0,0,20,38,0
46,17,6,4,9,4,1,0,0,30,38,0
47,17,6,4,0,4,1,0,0,10,38,0
48,17,8,4,9,4,1,0,0,40,38,0
49,17,7,4,2,4,1,0,0,17,38,0
50,17,6,4,11,4,0,0,0,10,38,0
51,17,7,4,2,4,1,0,0,10,38,0
52,17,7,4,7,2,0,0,0,25,38,0
53,17,7,4,11,4,0,0,0,20,38,0
54,17,6,4,9,4,1,0,0,40,38,0
55,17,8,4,7,4,0,0,0,8,38,0
56,17,7,4,7,4,0,0,0,16,38,0
57,17,10,4,9,1,0,0,0,40,29,0
58,17,6,4,11,4,0,0,0,15,38,0
59,17,7,4,9,4,1,0,0,20,38,0
60,17,6,4,7,4,1,0,0,24,38,0
61,17,7,4,9,3,0,0,0,20,38,0
62,17,7,4,7,4,0,0,0,20,38,0
63,17,9,4,7,4,1,0,0,40,38,0
64,17,7,4,11,4,0,0,0,35,38,0
65,17,7,4,9,4,0,0,0,18,38,0
66,17,7,4,11,4,1,0,0,20,38,0
67,17,8,4,11,4,0,0,0,10,38,0
68,17,7,4,7,4,0,0,0,16,38,0
69,17,7,4,4,4,1,0,0,45,38,0
70,17,7,4,11,4,1,0,0,20,38,0
71,17,6,4,7,4,1,0,0,30,38,0
72,17,6,4,9,4,0,0,0,15,38,0
73,17,7,4,9,4,0,0,0,20,32,0
74,17,8,4,11,4,0,0,0,15,38,0
75,17,5,4,9,2,1,0,0,40,38,0
76,17,8,4,7,4,0,0,0,16,38,0
77,17,6,4,9,4,1,0,0,20,38,0
78,17,6,4,11,4,1,0,0,20,38,0
79,17,7,4,7,4,1,0,0,25,38,0
80,17,8,4,7,2,1,0,0,18,38,0
81,17,6,4,11,4,0,0,0,12,38,0
82,17,7,4,11,4,0,0,0,15,38,0
83,17,7,4,11,4,1,0,0,15,38,0
84,17,8,4,5,4,1,0,0,17,38,0
85,17,7,4,9,4,0,0,0,8,38,0
86,17,7,4,11,4,0,0,0,25,38,0
87,17,6,4,7,4,1,0,0,20,38,0
88,17,7,4,7,4,1,0,0,12,38,0
89,17,6,4,7,4,1,0,0,10,1,0
90,17,10,4,0,4,1,0,0,20,38,0
91,17,7,4,5,4,1,0,0,12,38,0
92,17,7,4,11,4,0,0,0,20,38,0
93,17,5,2,7,4,1,0,0,40,38,0
94,17,7,4,9,2,0,0,0,40,37,0
95,17,7,4,7,2,1,0,0,16,13,0
96,17,7,4,7,4,0,0,0,15,38,0
97,17,6,4,12,4,1,0,0,10,38,0
98,17,6,4,4,4,1,0,0,40,38,0
99,17,7,4,11,4,0,0,0,20,38,0
100,17,7,4,5,4,1,0,0,20,38,0
101,17,9,4,11,4,0,0,0,20,38,0
102,17,7,4,11,4,0,0,0,30,38,0
103,17,6,4,7,4,1,0,0,30,38,0
104,17,6,4,7,4,0,0,0,10,38,0
105,17,8,4,7,4,1,0,0,12,38,0
106,17,6,4,9,4,1,0,0,40,38,0
107,17,7,4,0,4,0,0,0,12,38,0
108,17,6,4,11,4,0,0,0,12,38,0
109,17,6,4,7,4,1,0,0,8,38,0
110,17,6,4,4,4,1,0,0,40,38,0
111,17,6,4,7,4,0,0,0,6,38,0
112,17,6,4,7,4,1,0,0,4,38,0
113,17,7,4,0,4,0,0,0,15,38,0
114,17,4,4,2,4,1,0,0,45,38,0
115,17,7,4,5,4,1,0,0,12,38,0
116,17,8,4,7,4,1,0,0,16,38,0
117,17,7,4,8,4,0,0,0,9,38,0
118,17,6,4,9,4,1,0,0,40,38,0
119,17,9,4,4,2,1,0,0,40,38,0
120,17,7,4,7,4,0,0,0,7,38,0
121,17,6,4,7,4,0,0,0,24,38,0
122,17,6,4,7,4,1,0,0,25,38,0
123,17,8,4,11,4,1,0,0,40,38,0
124,17,7,4,7,2,1,0,0,20,38,0
125,17,6,4,7,4,1,0,0,20,7,0
126,17,7,4,5,4,1,0,0,25,38,0
127,17,7,4,7,4,1,0,0,20,38,0
128,17,6,4,7,4,0,0,0,40,38,0
129,17,7,4,11,4,0,0,0,40,38,0
